Location,Block10,Block3,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,BoardRoom,FinanceOffice1,FinanceOffice1,FinanceOffice1,FinanceOffice2,FinanceOffice2,FinanceOffice2,FinanceOffice3,FinanceOffice3,FinanceOffice3,FinanceSecretary,FinanceSecretary,HRDirector,HRDirector,HRDirector,HRMeeting,HRMeeting,HRMeeting,HROffice1,HROffice1,HROffice2,HROffice2,HeadofSchool,HeadofSchool,HeadofSchool,HeadofSchoolSecretary,HeadofSchoolSecretary,HeadofSchoolSecretary,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,OpenOffice,Pantry,Pantry,Pantry,Pantry,Pantry
DeviceNum,Num0,Num0,Num0,Num1,Num2,Num3,Num4,Num5,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num0,Num1,Num0,Num1,Num2,Num0,Num1,Num2,Num0,Num1,Num2,Num3,Num4,Num5,Num6,Num0,Num1,Num2,Num3,Num4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-18 16:40:00+08:00,,,83.0,82.0,83.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,68.0,69.0,67.0,66.0,66.0,64.0,66.0,64.0,65.0,64.0,70.0,70.0,73.0,74.0,76.0,72.0,72.0,73.0,73.0,69.0,65.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 16:45:00+08:00,,,83.0,82.0,83.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,68.0,69.0,67.0,66.3333333333,66.0,64.0,66.0,64.0,65.0,64.0,70.0,71.0,72.6666666667,74.0,75.6666666667,72.0,72.0,72.3333333333,74.0,69.0,66.0,68.0,68.0,71.0,70.0,69.6666666667,71.0,70.0
2017-02-18 16:50:00+08:00,,,83.0,82.0,83.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,68.5,69.0,67.0,66.5,66.0,64.0,66.0,64.0,65.0,64.0,70.0,71.0,73.0,74.0,76.0,72.0,72.0,72.0,74.0,69.0,66.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 16:55:00+08:00,,,83.0,82.0,83.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,69.0,69.0,67.0,66.6666666667,66.0,64.0,66.0,64.0,65.0,64.0,70.6666666667,71.0,73.0,74.0,76.0,72.0,72.0,72.6666666667,74.0,69.0,66.0,68.3333333333,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:00:00+08:00,,,83.5,82.0,84.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,69.0,69.0,67.0,67.0,66.0,64.0,66.0,64.0,65.0,64.0,71.0,71.0,73.0,74.0,76.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:05:00+08:00,,,83.3333333333,82.0,83.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,69.0,69.0,67.0,67.0,66.0,64.0,66.0,64.0,65.0,64.0,71.0,71.0,73.0,74.0,76.0,72.0,72.0,72.6666666667,74.0,69.0,66.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:10:00+08:00,,,83.0,82.0,83.0,79.0,80.5,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,69.0,69.0,67.0,67.0,66.0,64.0,66.0,64.0,65.0,64.0,71.0,71.0,73.0,74.0,77.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,67.5,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:15:00+08:00,,,83.3333333333,82.0,83.6666666667,79.0,80.3333333333,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,69.0,69.6666666667,67.0,66.6666666667,66.0,64.0,66.3333333333,64.0,65.0,64.0,71.0,71.0,73.0,74.0,77.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:20:00+08:00,,,83.5,82.0,84.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.0,61.0,66.0,63.0,69.0,70.0,67.0,67.0,66.0,64.0,67.0,64.0,65.0,64.0,71.0,71.0,73.0,74.0,76.5,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:25:00+08:00,,,83.3333333333,82.3333333333,84.0,79.3333333333,81.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.3333333333,61.0,66.0,63.0,69.0,70.0,67.0,67.0,66.3333333333,64.3333333333,67.0,64.0,65.0,64.0,71.0,71.0,73.0,74.0,76.6666666667,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.3333333333,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:30:00+08:00,,,83.5,82.5,84.0,79.0,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,63.0,61.0,66.0,63.0,69.0,70.0,67.0,67.0,66.0,65.0,67.0,64.0,65.5,64.0,71.0,71.0,72.0,74.0,77.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.0,71.0,70.0,70.0,71.0,70.0
2017-02-18 17:35:00+08:00,,,83.3333333333,83.0,84.0,79.3333333333,80.6666666667,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,62.6666666667,61.0,66.0,63.0,69.0,70.0,67.0,67.0,66.6666666667,64.3333333333,67.0,64.0,65.0,64.0,71.0,71.0,73.0,74.0,77.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,67.6666666667,71.6666666667,70.0,70.0,71.0,70.0
2017-02-18 17:40:00+08:00,,,84.0,83.0,84.0,79.5,80.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,63.0,61.0,66.0,63.0,69.0,70.0,67.0,67.0,66.5,64.0,67.0,64.0,65.5,64.0,71.0,71.0,73.0,74.0,77.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.0,72.0,70.0,70.0,71.0,70.0
2017-02-18 17:45:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,63.0,61.0,66.0,63.3333333333,69.0,70.0,67.0,67.0,67.0,64.0,67.0,64.0,65.6666666667,64.0,71.0,71.0,73.0,74.0,77.0,72.0,72.0,73.0,74.0,69.0,66.0,69.0,68.3333333333,72.0,70.0,70.0,71.0,70.0
2017-02-18 17:50:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,63.0,61.0,66.0,63.5,69.0,70.0,67.0,67.0,67.0,64.5,67.0,64.0,66.0,64.0,71.0,71.0,73.5,74.0,77.0,72.0,72.5,73.0,74.0,69.0,66.0,69.0,68.5,72.0,70.0,70.0,71.0,70.5
2017-02-18 17:55:00+08:00,,,84.0,82.6666666667,84.0,79.6666666667,81.0,77.0,64.0,63.0,63.0,63.0,62.0,60.0,64.0,63.0,61.0,66.0,63.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,64.6666666667,66.0,64.0,71.0,71.0,73.0,74.0,77.0,72.6666666667,73.0,73.0,74.0,69.0,66.0,69.0,69.0,72.0,70.0,70.0,71.0,70.6666666667
2017-02-18 18:00:00+08:00,,,84.0,83.0,84.0,79.5,81.0,77.0,64.0,63.0,63.0,63.0,63.0,60.0,64.0,63.0,61.0,66.0,63.5,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,64.0,71.0,71.0,73.0,74.0,77.0,72.5,73.0,73.0,74.0,69.0,66.0,69.0,69.0,72.0,70.0,70.0,71.0,71.0
2017-02-18 18:05:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.0,64.0,63.0,63.0,63.0,63.0,60.0,64.0,63.0,61.0,66.0,63.6666666667,69.0,70.0,67.0,67.0,67.0,65.0,67.0,64.6666666667,66.0,64.0,71.0,71.0,74.0,74.0,77.0,72.6666666667,73.0,73.0,74.0,69.0,66.0,69.0,68.3333333333,72.0,70.0,70.0,71.0,71.0
2017-02-18 18:10:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.0,64.0,63.0,63.0,63.0,63.0,60.0,64.0,63.0,61.5,66.0,63.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,64.0,71.0,71.0,74.0,75.0,77.0,72.5,73.0,73.0,74.0,69.0,66.0,69.0,68.5,72.0,70.0,70.0,71.5,71.0
2017-02-18 18:15:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.0,64.0,63.0,63.0,63.0,63.0,60.0,64.0,63.0,62.0,66.0,63.3333333333,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,64.6666666667,71.0,71.0,74.0,75.0,77.0,73.0,73.0,73.0,74.0,69.0,66.0,69.0,69.0,72.0,70.0,70.0,72.0,71.0
2017-02-18 18:20:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.5,64.0,63.0,63.5,63.0,63.0,60.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.0,73.5,75.0,77.0,73.0,73.0,73.5,75.0,69.0,66.0,69.0,68.5,72.0,70.0,70.0,71.5,71.0
2017-02-18 18:25:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.3333333333,64.0,63.0,63.3333333333,63.0,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.0,74.0,75.0,77.0,73.0,73.0,73.6666666667,75.0,69.0,66.0,69.0,68.3333333333,72.0,70.0,70.0,72.0,71.0
2017-02-18 18:30:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.5,64.0,63.0,63.5,63.0,63.0,61.0,64.0,63.0,62.0,66.0,63.5,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.0,74.0,75.0,77.5,73.0,73.0,73.0,75.0,69.0,66.0,69.0,68.5,72.0,70.0,70.0,72.0,71.0
2017-02-18 18:35:00+08:00,,,84.0,83.0,84.0,80.0,81.0,78.0,64.0,63.0,63.0,63.0,63.0,61.0,64.0,63.0,62.0,66.0,63.6666666667,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.0,73.3333333333,75.0,77.3333333333,73.0,73.0,73.0,75.0,69.3333333333,66.6666666667,69.0,69.0,72.0,71.0,70.0,72.0,71.0
2017-02-18 18:40:00+08:00,,,84.0,83.0,84.0,80.0,81.0,78.0,64.0,63.0,63.5,64.0,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.0,74.0,75.0,77.0,73.0,73.0,73.0,75.0,69.5,66.5,69.0,68.5,72.0,71.0,70.0,72.0,71.0
2017-02-18 18:45:00+08:00,,,84.0,83.0,84.0,80.0,81.0,77.6666666667,64.0,63.0,63.3333333333,63.6666666667,63.0,61.0,64.0,63.0,62.0,66.0,63.6666666667,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.0,73.3333333333,75.0,77.6666666667,73.0,73.0,73.0,75.0,69.3333333333,66.6666666667,69.0,68.6666666667,72.0,71.0,70.0,72.0,71.0
2017-02-18 18:50:00+08:00,,,84.0,83.0,84.0,80.0,81.0,78.0,64.0,64.0,63.5,64.0,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.5,73.0,75.0,77.5,73.0,73.0,73.0,75.0,69.0,66.5,69.0,69.0,72.0,71.0,70.0,72.0,71.0
2017-02-18 18:55:00+08:00,,,84.0,83.0,84.0,80.0,81.3333333333,78.0,64.0,64.0,63.6666666667,63.3333333333,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,65.0,67.0,65.0,66.0,65.0,71.0,71.6666666667,73.6666666667,75.0,78.0,73.0,73.0,73.0,75.0,69.3333333333,67.0,69.3333333333,69.0,72.0,71.0,70.3333333333,72.0,71.0
2017-02-18 19:00:00+08:00,,,84.0,83.0,84.0,80.0,81.5,78.0,64.0,64.0,63.0,64.0,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,64.5,67.0,65.0,66.0,65.0,71.0,71.0,74.0,75.0,77.5,73.0,73.0,73.0,75.0,70.0,67.0,69.0,69.5,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:05:00+08:00,,,84.0,83.0,84.0,80.0,81.6666666667,78.0,64.0,64.0,63.6666666667,64.0,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,64.0,67.0,65.0,66.0,65.0,71.0,71.0,74.0,75.0,78.0,73.0,73.0,73.0,75.0,70.0,67.0,69.0,69.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:10:00+08:00,,,84.0,83.0,84.0,80.0,82.0,78.0,64.0,64.0,64.0,64.0,63.0,61.0,64.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,64.0,67.0,65.0,66.0,65.0,71.0,71.0,74.0,75.0,78.0,73.0,73.0,73.5,75.0,70.0,67.0,70.0,69.5,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:15:00+08:00,,,84.0,83.0,84.0,80.0,81.6666666667,78.0,64.0,64.0,64.0,64.0,63.0,61.0,64.3333333333,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,64.3333333333,67.0,65.0,66.0,65.0,71.0,71.6666666667,74.0,75.0,78.0,73.0,73.0,73.3333333333,75.0,69.6666666667,67.0,69.3333333333,69.3333333333,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:20:00+08:00,,,84.0,83.0,84.0,80.0,82.0,78.0,64.0,64.0,63.5,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.0,67.0,64.5,67.0,65.0,66.0,65.0,71.0,72.0,74.0,75.0,78.0,73.0,73.0,73.5,75.0,70.0,67.0,69.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:25:00+08:00,,,84.0,83.0,84.0,80.0,81.6666666667,78.0,64.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,67.0,67.3333333333,67.0,65.0,67.3333333333,65.0,66.0,65.0,71.0,72.0,74.0,75.3333333333,78.0,73.0,73.0,73.0,75.0,70.0,67.0,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:30:00+08:00,,,84.0,83.0,84.0,80.0,82.0,78.0,64.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,67.5,67.0,67.0,65.0,67.5,65.0,66.0,65.0,71.0,72.0,74.0,75.5,78.0,73.0,73.0,73.0,75.0,70.0,67.0,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:35:00+08:00,,,84.3333333333,83.0,84.0,80.3333333333,82.0,78.0,64.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,68.0,67.0,67.0,64.0,68.0,65.0,66.0,65.0,72.0,72.0,74.0,76.0,78.0,73.0,73.0,74.0,75.0,70.0,67.0,70.0,69.6666666667,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:40:00+08:00,,,84.0,83.0,84.0,80.5,82.0,78.0,64.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,68.0,67.5,67.0,64.5,68.0,65.0,67.0,65.0,72.0,72.0,74.5,76.0,78.0,73.0,73.0,74.0,75.0,70.0,67.0,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:45:00+08:00,,,84.3333333333,83.3333333333,84.0,80.6666666667,82.0,78.3333333333,64.3333333333,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,68.0,67.3333333333,67.0,64.0,68.0,65.0,67.0,65.0,72.0,72.0,74.3333333333,76.0,78.3333333333,73.0,73.0,73.6666666667,75.0,70.0,67.0,69.6666666667,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:50:00+08:00,,,84.0,83.0,84.0,81.0,82.0,78.0,65.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.0,64.0,69.0,70.0,68.0,67.5,67.5,65.0,68.0,65.0,67.0,65.0,72.0,72.0,74.0,76.0,78.0,73.0,73.0,74.0,75.0,70.0,67.0,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 19:55:00+08:00,,,84.0,83.0,84.6666666667,81.0,82.0,78.3333333333,65.0,64.0,63.6666666667,64.0,63.0,61.0,65.0,63.0,62.0,66.3333333333,64.0,69.6666666667,70.0,68.0,68.0,67.6666666667,65.0,68.0,65.0,67.0,65.0,72.0,72.0,75.0,76.0,78.0,73.3333333333,73.0,74.0,75.0,70.0,67.0,70.0,69.6666666667,72.0,71.0,71.0,72.0,71.0
2017-02-18 20:00:00+08:00,,,84.5,83.0,85.0,81.0,82.0,78.0,65.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.5,64.0,70.0,70.0,68.0,68.0,67.0,65.0,68.0,65.0,67.0,65.0,72.0,72.0,73.5,76.0,78.0,74.0,73.0,74.0,75.0,70.0,67.0,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 20:05:00+08:00,,,85.0,83.0,84.6666666667,81.0,82.0,78.3333333333,65.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.6666666667,64.0,69.3333333333,70.0,68.0,68.0,68.0,65.0,68.0,65.0,67.0,65.0,72.0,72.0,75.0,76.0,78.6666666667,74.0,73.0,74.0,75.0,70.0,67.0,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 20:10:00+08:00,,,85.0,83.0,85.0,81.0,82.0,78.5,65.0,64.0,64.0,64.0,63.0,61.0,65.0,63.0,62.0,66.5,64.0,69.5,70.0,68.0,68.0,68.0,65.0,68.0,65.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,73.0,74.0,75.0,70.0,67.5,70.0,70.0,72.0,71.0,71.0,72.0,71.0
2017-02-18 20:15:00+08:00,,,85.0,84.0,85.0,81.0,82.3333333333,78.6666666667,65.0,64.0,64.0,64.0,63.6666666667,61.0,65.0,63.0,62.0,66.3333333333,64.0,70.0,70.0,68.0,68.0,68.0,65.0,68.0,65.0,67.0,65.0,72.0,72.0,75.0,76.0,78.3333333333,74.0,73.0,73.6666666667,75.0,70.0,67.0,70.0,70.0,72.3333333333,71.0,71.0,72.0,71.0
2017-02-18 20:20:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,63.0,62.0,67.0,64.0,70.0,70.0,68.0,68.0,68.0,65.0,68.0,65.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,73.5,74.0,75.0,70.0,67.0,70.0,70.0,73.0,71.0,71.0,72.5,71.0
2017-02-18 20:25:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,63.0,62.0,67.0,64.0,70.0,70.0,68.0,68.0,68.0,65.0,68.0,65.5,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,73.5,74.0,75.0,70.0,67.0,70.0,70.0,73.0,71.0,71.0,72.0,71.5
2017-02-18 20:30:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,70.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,78.5,74.0,74.0,74.0,75.0,70.0,67.0,70.0,70.0,73.0,71.0,71.0,72.5,72.0
2017-02-18 20:35:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,70.6666666667,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,75.0,70.0,67.0,70.0,70.0,73.0,71.0,71.0,72.3333333333,72.0
2017-02-18 20:40:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,70.5,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,74.5,76.0,79.0,74.0,74.0,74.0,75.5,70.0,67.0,70.5,70.0,73.0,71.0,71.0,72.5,72.0
2017-02-18 20:45:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,70.6666666667,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,75.3333333333,70.0,67.0,70.3333333333,70.3333333333,73.0,71.3333333333,71.0,73.0,72.0
2017-02-18 20:50:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,75.5,70.0,67.0,70.0,70.5,73.0,72.0,71.0,73.0,72.0
2017-02-18 20:55:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,70.6666666667,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,75.6666666667,70.0,67.3333333333,71.0,70.0,73.0,72.0,71.0,73.0,72.0
2017-02-18 21:00:00+08:00,,,85.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,70.5,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.5,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,76.0,70.0,67.5,70.5,70.0,73.0,72.0,71.0,73.0,72.0
2017-02-18 21:05:00+08:00,,,85.3333333333,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.3333333333,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,70.6666666667,73.0,72.0,71.0,72.6666666667,72.0
2017-02-18 21:10:00+08:00,,,86.0,84.0,85.0,81.0,82.5,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.5,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,70.0,73.0,72.0,71.0,73.0,72.0
2017-02-18 21:15:00+08:00,,,85.6666666667,84.0,85.0,81.0,82.3333333333,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,62.6666666667,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,75.6666666667,70.0,68.0,70.3333333333,70.3333333333,73.0,72.0,71.0,73.0,72.0
2017-02-18 21:20:00+08:00,,,86.0,84.0,85.0,81.0,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,75.5,70.0,68.0,71.0,70.5,73.0,72.0,72.0,73.0,72.0
2017-02-18 21:25:00+08:00,,,86.0,84.0,85.0,81.0,82.3333333333,79.0,65.0,64.0,64.0,64.0,64.0,61.3333333333,65.0,64.0,62.6666666667,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,65.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,70.6666666667,73.0,72.0,71.3333333333,73.0,72.0
2017-02-18 21:30:00+08:00,,,86.0,84.0,85.0,81.5,82.0,79.0,65.0,64.0,64.0,64.0,64.0,61.0,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.0,66.0,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,71.0,73.0,72.0,71.0,73.0,72.0
2017-02-18 21:35:00+08:00,,,86.0,84.0,85.3333333333,81.3333333333,83.0,79.0,65.0,64.0,64.0,64.0,64.0,61.6666666667,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,67.6666666667,65.3333333333,72.0,72.0,75.0,76.0,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,70.6666666667,73.0,72.0,71.3333333333,73.0,72.0
2017-02-18 21:40:00+08:00,,,86.0,84.0,85.0,81.0,83.0,79.0,65.0,64.0,64.0,64.0,64.0,61.5,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.0,66.0,68.0,66.0,72.0,72.0,75.0,76.5,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,71.0,73.0,72.0,72.0,73.0,72.0
2017-02-18 21:45:00+08:00,,,86.0,84.0,86.0,81.3333333333,82.6666666667,79.3333333333,65.0,64.0,64.0,64.0,64.0,62.0,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.3333333333,66.0,68.0,65.6666666667,72.0,72.6666666667,75.6666666667,76.6666666667,79.0,74.0,74.0,74.0,76.0,70.0,68.0,71.0,70.6666666667,73.0,72.0,72.0,73.0,72.0
2017-02-18 21:50:00+08:00,,,86.0,84.0,86.0,82.0,82.5,79.0,65.0,64.0,64.0,64.0,64.0,62.0,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,69.0,66.0,68.0,66.0,72.0,73.0,75.5,77.0,79.0,74.5,74.0,74.0,76.0,70.0,68.0,71.0,71.0,73.0,72.0,72.0,73.0,72.0
2017-02-18 21:55:00+08:00,,,86.0,84.0,86.0,82.0,83.0,79.0,65.0,64.0,64.0,64.0,64.0,62.0,65.0,64.0,63.0,67.0,64.0,70.0,71.0,68.0,68.0,68.0,65.0,68.6666666667,66.0,68.0,66.0,72.6666666667,73.0,75.6666666667,77.0,79.0,74.3333333333,74.0,74.0,76.0,70.3333333333,68.0,71.0,71.0,73.0,72.0,72.0,73.0,72.0
